"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Manitoba","2016A000246","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057746","8.11.1.1","35.6","","","","1"
"2019-07","Manitoba","2016A000246","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057747","8.12.1.1","28.4","","","","1"
"2019-07","Manitoba","2016A000246","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057748","8.13.1.1","23.5","","","","1"
"2019-07","Manitoba","2016A000246","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057749","8.14.1.1","54.6","","","","1"
"2019-07","Manitoba","2016A000246","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057750","8.15.1.1","100.5","","","","1"
"2019-07","Manitoba","2016A000246","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057751","8.16.1.1","22.9","","","","1"
"2019-07","Manitoba","2016A000246","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057752","8.17.1.1","41.4","","","","1"
"2019-07","Manitoba","2016A000246","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057753","8.18.1.1","26.6","","","","1"
"2019-07","Manitoba","2016A000246","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057754","8.19.1.1","37.6","","","","1"
"2019-07","Saskatchewan","2016A000247","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057757","9.3.1.1","41.1","","","","1"
"2019-07","Saskatchewan","2016A000247","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057758","9.4.1.1","23.8","","","","1"
"2019-07","Saskatchewan","2016A000247","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057759","9.5.1.1","6.1","","","","1"
"2019-07","Saskatchewan","2016A000247","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057760","9.6.1.1","45.0","","","","1"
"2019-07","Saskatchewan","2016A000247","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057761","9.7.1.1","30.4","","","","1"
"2019-07","Saskatchewan","2016A000247","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057763","9.9.1.1","91.7","","","","1"
"2019-07","Saskatchewan","2016A000247","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057764","9.10.1.1","24.5","","","","1"
"2019-07","Saskatchewan","2016A000247","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057765","9.11.1.1","29.4","","","","1"
"2019-07","Saskatchewan","2016A000247","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057766","9.12.1.1","27.8","","","","1"
"2019-07","Saskatchewan","2016A000247","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057767","9.13.1.1","15.2","","","","1"
"2019-07","Saskatchewan","2016A000247","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057768","9.14.1.1","39.8","","","","1"
"2019-07","Saskatchewan","2016A000247","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057769","9.15.1.1","80.3","","","","1"
"2019-07","Saskatchewan","2016A000247","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057770","9.16.1.1","21.2","","","","1"
"2019-07","Saskatchewan","2016A000247","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057771","9.17.1.1","40.4","","","","1"
"2019-07","Saskatchewan","2016A000247","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057772","9.18.1.1","26.8","","","","1"
"2019-07","Saskatchewan","2016A000247","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057773","9.19.1.1","31.4","","","","1"
"2019-07","Alberta","2016A000248","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057776","10.3.1.1","57.7","","","","1"
"2019-07","Alberta","2016A000248","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057777","10.4.1.1","140.3","","","","1"
"2019-07","Alberta","2016A000248","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057778","10.5.1.1","23.5","","","","1"
"2019-07","Alberta","2016A000248","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057779","10.6.1.1","232.4","","","","1"
"2019-07","Alberta","2016A000248","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057780","10.7.1.1","133.7","","","","1"
"2019-07","Alberta","2016A000248","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057782","10.9.1.1","356.2","","","","1"
"2019-07","Alberta","2016A000248","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057783","10.10.1.1","142.1","","","","1"
"2019-07","Alberta","2016A000248","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057784","10.11.1.1","115.4","","","","1"
"2019-07","Alberta","2016A000248","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057785","10.12.1.1","175.0","","","","1"
"2019-07","Alberta","2016A000248","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057786","10.13.1.1","81.1","","","","1"
"2019-07","Alberta","2016A000248","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057787","10.14.1.1","150.5","","","","1"
"2019-07","Alberta","2016A000248","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057788","10.15.1.1","279.6","","","","1"
"2019-07","Alberta","2016A000248","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057789","10.16.1.1","76.8","","","","1"
"2019-07","Alberta","2016A000248","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057790","10.17.1.1","129.5","","","","1"
"2019-07","Alberta","2016A000248","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057791","10.18.1.1","107.2","","","","1"
"2019-07","Alberta","2016A000248","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057792","10.19.1.1","113.9","","","","1"
"2019-07","British Columbia","2016A000259","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057795","11.3.1.1","23.8","","","","1"
"2019-07","British Columbia","2016A000259","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057796","11.4.1.1","43.3","","","","1"
"2019-07","British Columbia","2016A000259","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057797","11.5.1.1","12.6","","","","1"
"2019-07","British Columbia","2016A000259","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057798","11.6.1.1","250.7","","","","1"
"2019-07","British Columbia","2016A000259","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057799","11.7.1.1","175.3","","","","1"
"2019-07","British Columbia","2016A000259","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057801","11.9.1.1","430.3","","","","1"
"2019-07","British Columbia","2016A000259","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057802","11.10.1.1","144.5","","","","1"
"2019-07","British Columbia","2016A000259","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057803","11.11.1.1","167.5","","","","1"
"2019-07","British Columbia","2016A000259","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057804","11.12.1.1","227.9","","","","1"
"2019-07","British Columbia","2016A000259","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057805","11.13.1.1","113.2","","","","1"
"2019-07","British Columbia","2016A000259","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057806","11.14.1.1","181.4","","","","1"
"2019-07","British Columbia","2016A000259","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057807","11.15.1.1","336.8","","","","1"
"2019-07","British Columbia","2016A000259","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057808","11.16.1.1","132.1","","","","1"
"2019-07","British Columbia","2016A000259","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057809","11.17.1.1","197.5","","","","1"
"2019-07","British Columbia","2016A000259","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057810","11.18.1.1","120.3","","","","1"
"2019-07","British Columbia","2016A000259","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057811","11.19.1.1","123.6","","","","1"


